Rank,Name,Symbol,Price_USD,Change_24h,Market_Cap,Timestamp
,CoinMarketCap 20 Index DTF,CMC20,$133.35,+0.09%,"$8,740,998",2026-06-16 10:55:47
1,Bitcoin,BTC,"$66,047.71",+0.07%,"$1,323,819,850,308",2026-06-16 10:55:47
2,Ethereum,ETH,"$1,763.84",+0.51%,"$212,867,871,272",2026-06-16 10:55:47
3,Tether,USDT,$1.00,+0.01%,"$186,421,542,916",2026-06-16 10:55:47
4,BNB,BNB,$613.70,+0.01%,"$82,717,132,080",2026-06-16 10:55:47
5,XRP,XRP,$1.22,+0.21%,"$76,074,826,423",2026-06-16 10:55:47
6,USDC,USDC,$1.00,+0.01%,"$74,965,326,634",2026-06-16 10:55:47
7,Solana,SOL,$73.58,+0.06%,"$42,674,110,680",2026-06-16 10:55:47
8,TRON,TRX,$0.32,+0.03%,"$30,112,975,833",2026-06-16 10:55:47
9,Hyperliquid,HYPE,$71.42,+2.66%,"$18,101,246,346",2026-06-16 10:55:47
,CoinMarketCap 20 Index DTF,CMC20,$133.33,+0.18%,"$8,739,825",2026-06-16 11:04:59
1,Bitcoin,BTC,"$65,974.92",+0.02%,"$1,322,360,939,845",2026-06-16 11:04:59
2,Ethereum,ETH,"$1,760.20",+0.37%,"$212,429,129,942",2026-06-16 11:04:59
3,Tether,USDT,$1.00,+0.00%,"$186,435,944,193",2026-06-16 11:04:59
4,BNB,BNB,$613.46,+0.07%,"$82,685,223,491",2026-06-16 11:04:59
5,XRP,XRP,$1.22,+0.11%,"$75,974,721,307",2026-06-16 11:04:59
6,USDC,USDC,$1.00,+0.01%,"$74,966,753,436",2026-06-16 11:04:59
7,Solana,SOL,$73.64,+0.05%,"$42,711,672,764",2026-06-16 11:04:59
8,TRON,TRX,$0.32,+0.04%,"$30,117,048,263",2026-06-16 11:04:59
9,Hyperliquid,HYPE,$71.43,+2.82%,"$18,104,115,332",2026-06-16 11:04:59
,CoinMarketCap 20 Index DTF,CMC20,$133.38,+0.01%,"$8,743,132",2026-06-16 11:15:52
1,Bitcoin,BTC,"$66,074.19",+0.39%,"$1,324,350,681,942",2026-06-16 11:15:52
2,Ethereum,ETH,"$1,762.90",+0.07%,"$212,754,761,434",2026-06-16 11:15:52
3,Tether,USDT,$1.00,+0.00%,"$186,401,934,414",2026-06-16 11:15:52
4,BNB,BNB,$613.78,+0.26%,"$82,728,126,515",2026-06-16 11:15:52
5,XRP,XRP,$1.22,+0.20%,"$76,021,295,599",2026-06-16 11:15:52
6,USDC,USDC,$1.00,+0.01%,"$74,964,748,540",2026-06-16 11:15:52
7,Solana,SOL,$73.71,+0.62%,"$42,748,932,151",2026-06-16 11:15:52
8,TRON,TRX,$0.32,+0.11%,"$30,133,000,974",2026-06-16 11:15:52
9,Hyperliquid,HYPE,$71.90,+3.64%,"$18,221,944,561",2026-06-16 11:15:52
,CoinMarketCap 20 Index DTF,CMC20,$129.82,+0.07%,$8.49M,2026-06-18 17:10:42
1,Bitcoin,BTC,"$63,895.27",+0.05%,$1.28T,2026-06-18 17:10:42
2,Ethereum,ETH,"$1,741.20",+0.27%,$210.13B,2026-06-18 17:10:42
3,Tether,USDT,$1.00,+0.01%,$186.28B,2026-06-18 17:10:42
4,BNB,BNB,$589.02,+0.04%,$79.39B,2026-06-18 17:10:42
5,USDC,USDC,$1.00,+0.00%,$74.61B,2026-06-18 17:10:42
6,XRP,XRP,$1.16,+0.18%,$72.2B,2026-06-18 17:10:42
7,Solana,SOL,$70.95,+0.20%,$41.16B,2026-06-18 17:10:42
8,TRON,TRX,$0.32,+0.20%,$30.35B,2026-06-18 17:10:42
9,Hyperliquid,HYPE,$71.39,+0.42%,$18.08B,2026-06-18 17:10:42
